id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2024-05-20,Cliente_035,Mouse,Periféricos,Sudeste,2.0,102.9
2,2024-02-17,Cliente_042,  Teclado,Periféricos,Norte,7.0,214.88
3,2024-05-22,Cliente_022,Monitor,Computadores,Nordeste,4.0,
4,2024-06-21,Cliente_017,Smartphone,Celulares,Sudeste,4.0,2501.76
5,2024-07-12,Cliente_024,Mouse,Periféricos,Norte,8.0,121.3
6,2024-04-26,Cliente_025,Smartphone,Celulares,Nordeste,2.0,1900.24
7,2024-06-30,Cliente_039,Monitor,Computadores,Sul,6.0,1078.56
8,2024-07-13,Cliente_021,Teclado,Periféricos,Sudeste,4.0,224.76
9,2024-07-24,Cliente_021,Smartphone,Celulares,Sul,1.0,2401.33
10,2024-11-25,Cliente_017,Mouse,Periféricos,Norte,8.0,116.24
11,2024-04-22,Cliente_008,Monitor,Computadores,Sul,10.0,1163.78
12,2024-08-04,Cliente_017,Mouse,Periféricos,Norte,3.0,130.51
13,2024-02-28,Cliente_008,Headset,Periféricos,Nordeste,1.0,368.93
14,2024-05-14,Cliente_041,Monitor,Computadores,Nordeste,3.0,1183.34
15,2024-03-19,Cliente_001,Headset,Periféricos,Norte,9.0,361.44
16,2024-07-04,Cliente_037,Tablet,Celulares,Sudeste,8.0,1540.52
17,2024-09-29,Cliente_017,Notebook,Computadores,Norte,8.0,3831.82
18,2024-04-18,Cliente_026,Headset,Periféricos,Nordeste,10.0,341.93
19,2024-05-06,Cliente_015,Monitor,Computadores,Sudeste,9.0,1182.54
20,2024-01-17,Cliente_014,Notebook,Computadores,Norte,1.0,3215.39
21,2024-05-04,Cliente_028,Smartphone,Celulares,Nordeste,10.0,2250.3
22,2024-01-28,Cliente_022,Monitor,Computadores,Sudeste,7.0,1188.13
23,2024-08-17,Cliente_005,Smartphone,Celulares,Centro-Oeste,4.0,1995.54
24,2024-11-29,Cliente_016,Headset,Periféricos,Sul,9.0,307.78
25,2024-07-24,Cliente_030,  Monitor,Computadores,Nordeste,8.0,1193.29
26,2024-09-06,Cliente_035,Monitor,Computadores,Sudeste,9.0,1258.27
27,2024-10-26,Cliente_033,Mouse,Periféricos,Sudeste,6.0,104.06
28,2024-02-04,Cliente_016,Headset,Periféricos,Norte,3.0,304.69
29,2024-08-02,Cliente_043,Teclado,Periféricos,Nordeste,1.0,258.95
30,2024-12-09,Cliente_001,Smartphone,Celulares,Centro-Oeste,5.0,2131.22
31,2024-02-07,Cliente_005,Teclado,Periféricos,Sul,10.0,287.21
32,2024-10-05,Cliente_001,Tablet,Celulares,Norte,5.0,1615.18
33,2024-03-09,Cliente_019,Tablet,Celulares,Norte,2.0,2037.02
34,2024-11-20,Cliente_004,Smartphone,Celulares,Sudeste,6.0,2004.37
35,2024-01-23,Cliente_048,Mouse,Periféricos,Centro-Oeste,,131.86
36,2024-02-27,Cliente_024,Teclado,Periféricos,Norte,7.0,254.57
37,2024-01-22,Cliente_023,Teclado,Periféricos,Sul,3.0,244.73
38,2024-06-30,Cliente_010,Mouse,Periféricos,Sul,4.0,126.01
39,2024-03-31,Cliente_027,Headset,Periféricos,Sul,3.0,
40,2024-02-25,Cliente_030,Tablet,Celulares,Nordeste,3.0,
41,2024-12-03,Cliente_018,Tablet,Celulares,Nordeste,4.0,1650.38
42,2024-10-01,Cliente_038,Mouse,Periféricos,Nordeste,9.0,
43,2024-06-25,Cliente_025,Notebook,Computadores,Norte,2.0,3601.4
44,2024-08-11,Cliente_048,Smartphone,Celulares,Sul,,1899.3
45,2024-12-06,Cliente_020,Tablet,Celulares,Norte,7.0,1567.79
46,2024-12-22,Cliente_044,Tablet,Celulares,Sul,7.0,1706.14
47,2024-10-07,Cliente_039,Teclado,Periféricos,Nordeste,10.0,235.07
48,2024-04-19,Cliente_043,Monitor,Computadores,Sudeste,8.0,1179.18
49,2024-11-13,Cliente_015,Tablet,Celulares,Sul,9.0,1888.48
50,2024-08-31,Cliente_037,Smartphone,Celulares,Sul,1.0,1900.5
51,2024-05-04,Cliente_007,Mouse,Periféricos,Centro-Oeste,7.0,119.8
52,2024-12-22,Cliente_030,Smartphone,Celulares,Sul,3.0,2400.71
53,2024-10-13,Cliente_047,Headset,Periféricos,Norte,8.0,367.6
54,2024-03-22,Cliente_041,Monitor,Computadores,Nordeste,9.0,1180.53
55,2024-05-02,Cliente_021,Headset,Periféricos,Norte,9.0,348.38
56,2024-07-15,Cliente_035,Notebook,Computadores,Centro-Oeste,3.0,3133.37
57,DATA INVÁLIDA,Cliente_049,Monitor,Computadores,Norte,1.0,1094.46
58,2024-06-29,Cliente_035,Monitor,Computadores,Norte,8.0,1022.12
59,2024-09-06,Cliente_044,  Headset,Periféricos,Centro-Oeste,10.0,391.77
60,2024-03-06,Cliente_043,Mouse,Periféricos,Sudeste,3.0,132.26
61,2024-08-24,Cliente_022,Notebook,Computadores,Centro-Oeste,7.0,3117.48
62,2024-02-11,Cliente_015,Tablet,Celulares,Sudeste,7.0,1666.23
63,2024-05-06,Cliente_043,Headset,Periféricos,Sudeste,1.0,
64,2024-05-11,Cliente_008,Teclado,Periféricos,Sul,4.0,247.38
65,2024-06-08,Cliente_013,Tablet,Celulares,Sudeste,2.0,1842.49
66,2024-06-03,Cliente_003,Teclado,Periféricos,Nordeste,4.0,220.14
67,2024-02-05,Cliente_007,Teclado,Periféricos,Centro-Oeste,7.0,262.11
68,2024-08-10,Cliente_035,Tablet,Celulares,Centro-Oeste,8.0,1911.95
69,2024-10-30,Cliente_029,Monitor,Computadores,Sul,7.0,1317.26
70,2024-12-08,Cliente_014,Headset,Periféricos,Nordeste,8.0,
71,2024-11-01,Cliente_006,  Headset,Periféricos,Sul,5.0,333.24
